date,close
2019-07-23,137.04100036621094
2019-07-24,137.03599548339844
2019-07-25,137.03199768066406
2019-07-26,137.0330047607422
2019-07-29,137.0290069580078
2019-07-30,137.00599670410156
2019-07-31,137.0449981689453
2019-08-01,137.01499938964844
2019-08-02,137.01800537109375
2019-08-05,137.0290069580078
2019-08-06,137.02000427246094
2019-08-07,137.0240020751953
2019-08-08,137.0229949951172
2019-08-09,137.00900268554688
2019-08-12,137.00399780273438
2019-08-13,136.98399353027344
2019-08-14,137.0019989013672
2019-08-15,136.99600219726562
2019-08-16,136.99600219726562
2019-08-19,136.99099731445312
2019-08-20,136.98800659179688
2019-08-21,136.9810028076172
2019-08-22,136.97900390625
2019-08-23,136.9759979248047
2019-08-26,136.96600341796875
2019-08-27,136.9709930419922
2019-08-28,136.97000122070312
2019-08-29,136.95700073242188
2019-08-30,136.98500061035156
2019-09-02,136.96800231933594
2019-09-03,136.96800231933594
2019-09-04,136.96099853515625
2019-09-05,136.9499969482422
2019-09-06,136.9770050048828
2019-09-09,136.93099975585938
2019-09-10,136.9510040283203
2019-09-11,136.9499969482422
2019-09-12,136.9499969482422
2019-09-13,136.96499633789062
2019-09-16,136.9429931640625
2019-09-17,136.93800354003906
2019-09-18,136.93499755859375
2019-09-19,136.9340057373047
2019-09-20,136.9340057373047
2019-09-23,136.92799377441406
2019-09-24,136.92799377441406
2019-09-25,136.9149932861328
2019-09-26,136.927001953125
2019-09-27,136.92300415039062
2019-09-30,136.92999267578125
2019-10-01,136.91000366210938
2019-10-02,136.90499877929688
2019-10-04,136.8800048828125
2019-10-07,136.9199981689453
2019-10-08,136.89999389648438
2019-10-09,136.88999938964844
2019-10-10,136.88999938964844
2019-10-11,136.86000061035156
2019-10-14,136.8800048828125
2019-10-15,136.875
2019-10-16,136.8800048828125
2019-10-17,136.875
2019-10-18,136.8699951171875
2019-10-21,136.86500549316406
2019-10-22,136.86000061035156
2019-10-23,136.8800048828125
2019-10-24,136.86000061035156
2019-10-25,136.85499572753906
2019-10-28,136.85000610351562
2019-10-29,136.84500122070312
2019-10-30,136.83999633789062
2019-10-31,136.86000061035156
2019-11-01,136.83999633789062
2019-11-04,136.8350067138672
2019-11-05,136.8300018310547
2019-11-06,136.80999755859375
2019-11-07,136.84800720214844
2019-11-08,136.8249969482422
2019-11-11,136.83999633789062
2019-11-12,136.80999755859375
2019-11-13,136.80999755859375
2019-11-14,136.8300018310547
2019-11-15,136.80999755859375
2019-11-18,136.8070068359375
2019-11-19,136.80499267578125
2019-11-20,136.8000030517578
2019-11-21,136.80999755859375
2019-11-22,136.7899932861328
2019-11-25,136.80999755859375
2019-11-26,136.7899932861328
2019-11-27,136.80999755859375
2019-11-28,136.77999877929688
2019-11-29,136.8000030517578
2019-12-02,136.77999877929688
2019-12-03,136.77999877929688
2019-12-04,136.77499389648438
2019-12-05,136.77000427246094
2019-12-06,136.75999450683594
2019-12-09,136.75
2019-12-10,136.7570037841797
2019-12-11,136.75999450683594
2019-12-12,136.76100158691406
2019-12-13,136.75
2019-12-16,136.75
2019-12-17,136.75100708007812
2019-12-18,136.74899291992188
2019-12-19,136.75999450683594
2019-12-20,136.75999450683594
2019-12-23,136.72000122070312
2019-12-27,136.7209930419922
2019-12-30,136.72500610351562
2020-01-02,136.6909942626953
2020-01-03,136.7100067138672
2020-01-06,136.67999267578125
2020-01-07,136.6999969482422
2020-01-08,136.72000122070312
2020-01-09,136.69900512695312
2020-01-10,136.6959991455078
2020-01-13,136.7100067138672
2020-01-14,136.68600463867188
2020-01-15,136.66200256347656
2020-01-16,136.67999267578125
2020-01-17,136.6750030517578
2020-01-20,136.68899536132812
2020-01-21,136.66900634765625
2020-01-22,136.6699981689453
2020-01-23,136.6649932861328
2020-01-24,136.6649932861328
2020-01-27,136.64100646972656
2020-01-28,136.66000366210938
2020-01-29,136.67999267578125
2020-01-30,136.66000366210938
2020-01-31,136.66900634765625
2020-02-03,136.63999938964844
2020-02-04,136.64999389648438
2020-02-05,136.63099670410156
2020-02-06,136.6300048828125
2020-02-07,136.6580047607422
2020-02-10,136.64999389648438
2020-02-11,136.6300048828125
2020-02-12,136.61000061035156
2020-02-13,136.63999938964844
2020-02-14,136.61000061035156
2020-02-17,136.63999938964844
2020-02-18,136.6300048828125
2020-02-19,136.61000061035156
2020-02-20,136.58999633789062
2020-02-21,136.6199951171875
2020-02-24,136.6199951171875
2020-02-25,136.5800018310547
2020-02-26,136.58999633789062
2020-02-27,136.58999633789062
2020-02-28,136.6199951171875
2020-03-02,136.58999633789062
2020-03-03,136.57000732421875
2020-03-04,136.5749969482422
2020-03-05,136.58900451660156
2020-03-06,136.55999755859375
2020-03-09,136.50999450683594
2020-03-10,136.47999572753906
2020-03-11,136.5540008544922
2020-03-12,136.39999389648438
2020-03-13,136.31100463867188
2020-03-16,137.02999877929688
2020-03-17,136.3800048828125
2020-03-18,136.4600067138672
2020-03-19,136.55299377441406
2020-03-20,136.61000061035156
2020-03-23,136.3699951171875
2020-03-24,136.60400390625
2020-03-25,136.55999755859375
2020-03-26,136.6699981689453
2020-03-27,136.63999938964844
2020-03-30,136.48800659179688
2020-03-31,136.5500030517578
2020-04-01,136.60000610351562
2020-04-02,136.4499969482422
2020-04-03,136.61000061035156
2020-04-06,136.42999267578125
2020-04-07,136.61900329589844
2020-04-08,136.531005859375
2020-04-09,136.53500366210938
2020-04-14,136.4949951171875
2020-04-15,136.56900024414062
2020-04-16,136.53399658203125
2020-04-17,136.51600646972656
2020-04-20,136.83999633789062
2020-04-21,136.4219970703125
2020-04-22,136.58700561523438
2020-04-23,136.38999938964844
2020-04-24,136.5
2020-04-27,136.5500030517578
2020-04-28,136.5
2020-04-29,136.5050048828125
2020-04-30,136.41000366210938
2020-05-04,136.3939971923828
2020-05-05,136.4600067138672
2020-05-06,136.51400756835938
2020-05-07,136.4290008544922
2020-05-08,136.49000549316406
2020-05-11,136.52000427246094
2020-05-12,136.3699951171875
2020-05-13,136.46600341796875
2020-05-14,136.4600067138672
2020-05-15,136.43899536132812
2020-05-18,136.48300170898438
2020-05-19,136.43299865722656
2020-05-20,136.38600158691406
2020-05-21,136.43600463867188
2020-05-22,136.4199981689453
2020-05-25,136.4250030517578
2020-05-26,136.47999572753906
2020-05-27,136.3159942626953
2020-05-28,136.44000244140625
2020-05-29,136.1999969482422
2020-06-02,136.3769989013672
2020-06-03,136.30999755859375
2020-06-04,136.34800720214844
2020-06-05,136.41000366210938
2020-06-08,136.3300018310547
2020-06-09,136.39199829101562
2020-06-10,136.36700439453125
2020-06-11,136.2899932861328
2020-06-12,136.36500549316406
2020-06-15,136.3990020751953
2020-06-16,136.406005859375
2020-06-17,136.3459930419922
2020-06-18,136.33799743652344
2020-06-19,136.38699340820312
2020-06-22,136.3800048828125
2020-06-23,136.36399841308594
2020-06-24,136.34500122070312
2020-06-25,136.2899932861328
2020-06-26,136.32000732421875
2020-06-29,136.38999938964844
2020-06-30,136.41000366210938
2020-07-01,136.33599853515625
2020-07-02,136.25999450683594
2020-07-03,136.2899932861328
2020-07-06,136.29600524902344
2020-07-07,136.34500122070312
2020-07-08,136.2899932861328
2020-07-09,136.3179931640625
2020-07-10,136.3800048828125
2020-07-13,136.33599853515625
2020-07-14,136.25100708007812
2020-07-15,136.30599975585938
2020-07-16,136.37899780273438
2020-07-17,136.30499267578125
2020-07-20,136.29400634765625
2020-07-21,136.24000549316406
2020-07-22,136.2899932861328
2020-07-23,136.3040008544922
2020-07-24,136.27999877929688
2020-07-27,136.22000122070312
2020-07-28,136.30999755859375
2020-07-29,136.30999755859375
2020-07-30,136.24200439453125
2020-07-31,136.23800659179688
2020-08-03,136.23199462890625
2020-08-04,136.2480010986328
2020-08-05,136.25999450683594
2020-08-06,136.22500610351562
2020-08-07,136.22799682617188
2020-08-10,136.27499389648438
2020-08-11,136.2790069580078
2020-08-12,136.24400329589844
2020-08-13,136.21499633789062
2020-08-14,136.24000549316406
2020-08-17,136.25999450683594
2020-08-18,136.25799560546875
2020-08-19,136.25799560546875
2020-08-20,136.25399780273438
2020-08-21,136.25399780273438
2020-08-24,136.1909942626953
2020-08-25,136.1909942626953
2020-08-26,136.21400451660156
2020-08-27,136.21200561523438
2020-08-28,136.21200561523438
2020-08-31,136.2310028076172
2020-09-01,136.2100067138672
2020-09-02,136.2270050048828
2020-09-03,136.21299743652344
2020-09-04,136.1929931640625
2020-09-07,136.22300720214844
2020-09-08,136.1699981689453
2020-09-09,136.21200561523438
2020-09-10,136.18299865722656
2020-09-11,136.20799255371094
2020-09-14,136.1739959716797
2020-09-15,136.197998046875
2020-09-16,136.16900634765625
2020-09-17,136.1699981689453
2020-09-18,136.1699981689453
2020-09-21,136.1320037841797
2020-09-22,136.1840057373047
2020-09-23,136.18099975585938
2020-09-24,136.1790008544922
2020-09-25,136.12399291992188
2020-09-28,136.14700317382812
2020-09-29,136.1699981689453
2020-09-30,136.16400146484375
2020-10-01,136.13099670410156
2020-10-02,136.10899353027344
2020-10-05,136.1529998779297
2020-10-06,136.156005859375
2020-10-07,136.10499572753906
2020-10-08,136.10499572753906
2020-10-09,136.14700317382812
2020-10-12,136.11199951171875
2020-10-13,136.13299560546875
2020-10-14,136.10499572753906
2020-10-15,136.11199951171875
2020-10-16,136.10800170898438
2020-10-19,136.10800170898438
2020-10-20,136.0989990234375
2020-10-21,136.09800720214844
2020-10-22,136.08900451660156
2020-10-23,136.08900451660156
2020-10-26,136.08200073242188
2020-10-27,136.0500030517578
2020-10-28,136.04600524902344
2020-10-29,136.10800170898438
2020-10-30,136.1020050048828
2020-11-02,136.0970001220703
2020-11-03,136.08200073242188
2020-11-04,136.05799865722656
2020-11-05,136.0590057373047
2020-11-06,136.03500366210938
2020-11-09,136.0229949951172
2020-11-10,136.02000427246094
2020-11-11,136.0679931640625
2020-11-12,136.04800415039062
2020-11-13,136.04600524902344
2020-11-16,136.03900146484375
2020-11-17,136.03700256347656
2020-11-18,136.0030059814453
2020-11-19,136.03199768066406
2020-11-20,136.031005859375
2020-11-23,136.0240020751953
2020-11-24,136.02200317382812
2020-11-25,136.02000427246094
2020-11-26,135.98800659179688
2020-11-27,135.98500061035156
2020-11-30,136.0279998779297
2020-12-01,135.97300720214844
2020-12-02,135.9709930419922
2020-12-03,136.0019989013672
2020-12-04,135.98599243164062
2020-12-07,135.96400451660156
2020-12-08,135.96200561523438
2020-12-09,135.99000549316406
2020-12-10,135.98699951171875
2020-12-11,136.0070037841797
2020-12-14,135.97999572753906
2020-12-15,135.9759979248047
2020-12-16,135.99400329589844
2020-12-17,135.9720001220703
2020-12-18,135.9770050048828
2020-12-21,135.9810028076172
2020-12-22,135.92799377441406
2020-12-23,135.95199584960938
2020-12-28,135.96499633789062
2020-12-29,135.968994140625
2020-12-30,135.947998046875
2021-01-04,135.9499969482422
2021-01-05,135.9320068359375
2021-01-06,135.91600036621094
2021-01-07,135.927001953125
2021-01-08,135.94500732421875
2021-01-11,135.91799926757812
2021-01-12,135.9149932861328
2021-01-13,135.9010009765625
2021-01-14,135.8979949951172
2021-01-15,135.90199279785156
2021-01-18,135.9029998779297
2021-01-19,135.93099975585938
2021-01-20,135.8990020751953
2021-01-21,135.89599609375
2021-01-22,135.86599731445312
2021-01-25,135.88800048828125
2021-01-26,135.91600036621094
2021-01-27,135.85400390625
2021-01-28,135.8800048828125
2021-01-29,135.84800720214844
2021-02-01,135.87899780273438
2021-02-02,135.8699951171875
2021-02-03,135.8679962158203
2021-02-04,135.85899353027344
2021-02-05,135.88099670410156
2021-02-08,135.87100219726562
2021-02-09,135.85499572753906
2021-02-10,135.85000610351562
2021-02-11,135.8509979248047
2021-02-12,135.85800170898438
2021-02-15,135.83999633789062
2021-02-16,135.86500549316406
2021-02-17,135.8070068359375
2021-02-18,135.8280029296875
2021-02-19,135.84500122070312
2021-02-22,135.79600524902344
2021-02-23,135.79200744628906
2021-02-24,135.81500244140625
2021-02-25,135.83700561523438
2021-02-26,135.8350067138672
2021-03-01,135.81100463867188
2021-03-02,135.7790069580078
2021-03-03,135.8070068359375
2021-03-04,135.822998046875
2021-03-05,135.8350067138672
2021-03-08,135.81199645996094
2021-03-09,135.82699584960938
2021-03-10,135.76199340820312
2021-03-11,135.7899932861328
2021-03-12,135.78700256347656
2021-03-15,135.81100463867188
2021-03-16,135.7790069580078
2021-03-17,135.7469940185547
2021-03-18,135.77499389648438
2021-03-19,135.77099609375
2021-03-22,135.78700256347656
2021-03-23,135.75999450683594
2021-03-24,135.78199768066406
2021-03-25,135.75799560546875
2021-03-26,135.72900390625
2021-03-29,135.7519989013672
2021-03-30,135.7519989013672
2021-03-31,135.77099609375
2021-04-01,135.7209930419922
2021-04-06,135.7100067138672
2021-04-07,135.72799682617188
2021-04-08,135.7259979248047
2021-04-09,135.7010040283203
2021-04-12,135.69400024414062
2021-04-13,135.7480010986328
2021-04-14,135.7209930419922
2021-04-15,135.7209930419922
2021-04-16,135.718994140625
2021-04-19,135.71400451660156
2021-04-20,135.71400451660156
2021-04-21,135.69500732421875
2021-04-22,135.70399475097656
2021-04-23,135.6959991455078
2021-04-26,135.7010040283203
2021-04-27,135.68899536132812
2021-04-28,135.68600463867188
2021-04-29,135.68499755859375
2021-04-30,135.67100524902344
2021-05-03,135.68800354003906
2021-05-04,135.6840057373047
2021-05-05,135.6750030517578
2021-05-06,135.67100524902344
2021-05-07,135.65499877929688
2021-05-10,135.6529998779297
2021-05-11,135.65899658203125
2021-05-12,135.65899658203125
2021-05-13,135.64999389648438
2021-05-14,135.66099548339844
2021-05-17,135.6540069580078
2021-05-18,135.6510009765625
2021-05-19,135.6580047607422
2021-05-20,135.65199279785156
2021-05-21,135.64999389648438
2021-05-25,135.6439971923828
2021-05-26,135.63699340820312
2021-05-27,135.63499450683594
2021-05-28,135.63800048828125
2021-05-31,135.63099670410156
2021-06-01,135.625
2021-06-02,135.60400390625
2021-06-03,135.60499572753906
2021-06-04,135.593994140625
2021-06-07,135.61000061035156
2021-06-08,135.58900451660156
2021-06-09,135.60400390625
2021-06-10,135.60299682617188
2021-06-11,135.6020050048828
2021-06-14,135.5800018310547
2021-06-15,135.58900451660156
2021-06-16,135.5800018310547
2021-06-17,135.57400512695312
2021-06-18,135.5590057373047
2021-06-21,135.5540008544922
2021-06-22,135.5679931640625
