ISIN,YahooTicker,shares
LU3025345516,EDEG.DE,4722
IE00BKM4GZ66,IS3N.DE,396
IE00BYPLS672,USPY.DE,232
IE00B5BMR087,SXR8.DE,59
IE00B4K48X80,EUNK.DE,292
IE00B8FHGS14,IQQ0.DE,370
IE00BF4RFH31,IUSN.DE,1310
DE000A0F5UH1,ISPA.DE,445
LU2611731824,CD91.DE,333
IE00B9F5YL18,VGEJ.DE,129
IE00B4L5YX21,EUNN.DE,192
IE00B3WJKG14,QDVE.DE,460
